Lebanon,4/3/2020,0.5937,0.58143,0.57535,0.57121,0.57746,0.5859,0.60231,0.62352,0.64941,0.68084,0.71028,0.66247,0.78013,0.7817,0.78562,0.77375,0.77934,0.75429,0.76375,0.7406,0.7154,0.71117,0.70368,0.6746,0.65433,0.63073,0.60465,0.57638,0.55382,0.52878
Lithuania,4/1/2020,0.60198,0.59154,0.58632,0.58182,0.57792,0.58831,0.58891,0.59986,0.60782,0.61511,0.62225,0.573,0.64954,0.64763,0.64789,0.65427,0.66559,0.68231,0.70221,0.72269,0.74611,0.76635,0.78678,0.80242,0.80708,0.82181,0.82874,0.82724,0.82316,0.82006
Luxembourg,3/21/2020,0.67037,0.66666,0.66594,0.66365,0.66974,0.67716,0.68726,0.7027,0.72052,0.73949,0.75944,0.73755,0.80854,0.82308,0.84095,0.85487,0.86275,0.87234,0.88384,0.88648,0.88769,0.89846,0.89772,0.90062,0.89982,0.90052,0.90152,0.90281,0.91093,0.91008
Malaysia,3/16/2020,0.62005,0.60942,0.60094,0.593,0.59036,0.59407,0.59881,0.60881,0.61905,0.63169,0.646,0.62568,0.67704,0.68704,0.69599,0.70363,0.71358,0.72029,0.73055,0.73656,0.7452,0.75524,0.76079,0.77057,0.77923,0.78854,0.79921,0.81042,0.82285,0.83318
Mali,5/1/2020,0.57052,0.54956,0.53183,0.51863,0.49872,0.4826,0.47382,0.46218,0.44536,0.44437,0.43498,0.37687,0.44112,0.41478,0.41355,0.41089,0.40409,0.38987,0.38537,0.38122,0.3639,0.36861,0.3675,0.37733,0.38313,0.38957,0.39065,0.40203,0.41507,0.43031
Malta,5/11/2020,0.60234,0.59382,0.58885,0.58812,0.59939,0.61426,0.63909,0.66917,0.70576,0.746,0.79213,0.75761,0.91675,0.96776,1,1,1,0.90636,0.86845,0.85271,0.82182,0.79197,0.73728,0.7161,0.68207,0.658,0.63299,0.61617,0.60987,0.60172
Mauritius,11/27/2020,0.5088,0.4827,0.46015,0.36281,0.37209,0.35107,0.32799,0.30909,0.29529,0.28769,0.28767,0.20554,0.30572,0.32988,0.38013,0.40179,0.46914,0.49706,0.56237,0.62774,0.69052,0.81526,0.91684,0.8156,0.72159,0.79735,0.57079,0.59454,0.61099,0.4131
Mexico,3/26/2020,0.58433,0.55326,0.53054,0.50646,0.49045,0.47501,0.46365,0.45864,0.45608,0.45871,0.46243,0.44427,0.48409,0.48636,0.48939,0.48863,0.49143,0.49345,0.49271,0.4893,0.48992,0.48726,0.48628,0.48749,0.48793,0.48731,0.48976,0.48682,0.48223,0.47727
Moldova,4/2/2020,0.59665,0.58534,0.57688,0.57329,0.57372,0.57827,0.5817,0.59204,0.60248,0.61416,0.6295,0.60392,0.65902,0.6665,0.66802,0.67149,0.67437,0.67874,0.68123,0.68766,0.69382,0.70104,0.70881,0.72135,0.72847,0.736,0.73915,0.73828,0.73979,0.73575
Mongolia,11/18/2020,0.67189,0.66751,0.66838,0.6741,0.67391,0.69209,0.70622,0.72331,0.741,0.76065,0.7786,0.741,0.83302,0.83412,0.84397,0.84843,0.85702,0.86395,0.8562,0.8643,0.84133,0.84028,0.82213,0.80698,0.78255,0.76734,0.74719,0.73405,0.72104,0.71813
Morocco,3/30/2020,0.64675,0.63136,0.61891,0.60036,0.58809,0.5874,0.5804,0.5758,0.57468,0.57133,0.57565,0.54984,0.58775,0.59324,0.60649,0.61847,0.63612,0.65242,0.66998,0.68768,0.70599,0.72329,0.73706,0.74862,0.7584,0.76273,0.76391,0.76368,0.76079,0.75723
Mozambique,6/12/2020,0.55869,0.54455,0.53107,0.51665,0.51355,0.50616,0.50426,0.50423,0.50544,0.51479,0.52127,0.47064,0.55487,0.55398,0.55466,0.5541,0.54978,0.53534,0.52814,0.51654,0.50792,0.49329,0.48231,0.46235,0.4609,0.4503,0.44539,0.44386,0.45253,0.45887
